10001,"TORNADO CASH","-0- -0- -0- -0- -0- -0- -0- -0- -0- Digital Currency Address - ETH 0x8589427373D6D84E98730D7795D8f6f8731FDA16; Digital Currency Address - ETH 0x722122dF12D4e14e13Ac3b6895a86e84145b6967; Digital Currency Address - ETH 0xDD4c48C0B24039969fC16D1cdF626eaB821d3384; Digital Currency Address - ETH 0xd90e2f925DA726b50C4Ed8D0Fb90Ad053324F31b; Digital Currency Address - ETH 0x910Cbd523D972eb0a6f4cAe4618aD62622b39DbF; Digital Currency Address - ETH 0xA160cdAB225685dA1d56aa342Ad8841c3b53f291; Digital Currency Address - ETH 0xF67721A2D8F736E75a49FdD7FAd2e31D8676542a; Digital Currency Address - ETH 0x12D66f87A04A9E220743712cE6d9bB1B5616B8Fc; Digital Currency Address - ETH 0x07687e702b410Fa43f4cB4Af7FA097918ffD2730; Digital Currency Address - ETH 0x23773E65ed146A459791799d01336DB287f25334; Digital Currency Address - ETH 0x03893a7c7463AE47D46bc7f091665f1893656003; Digital Currency Address - ETH 0x47CE0C6eD5B0Ce3d3A51fdb1C52DC66a7c3c2936. Designated pursuant to E.O. 13694 as amended by E.O. 13757 on 08 Aug 2022."
10002,"LAZARUS GROUP","-0- -0- -0- -0- -0- -0- -0- -0- -0- Digital Currency Address - ETH 0x098B716B8Aaf21512996dC57EB0615e2383E2f96. Democratic People's Republic of Korea state-sponsored cyber group. Designated 14 Apr 2022 in connection with the Ronin Bridge incident."
